6214	gal0	gal5	gal10	gal15	gal20	gal30	gal45	gal60	gal90	gal120	gal240	gal480	gal720	gal960	gal1200	gal1440	glu0	glu5	glu10	glu15	glu20	glu225	glu25	glu30	glu60	glu120	glu240	glu360	glu480	glu600	glu720
YPL140C	0.056686505	0.192068312	0.134230682	0.184359866	-0.20512459	-0.403975481	-0.280601892	-0.184788727	0.226346789	0.315818613	0.483033606	0.120468765	0.161559131	0.198724379	0.253330707	0.211348611	-0.081461219	-0.151487692	-0.123800146	-0.007487715	-0.081528539	0.049586608	0.14351542	0.102509937	-0.020953006	0.195516869	0.328912266	-0.348176101	-0.344152798	-0.302755049	-0.291526715
YPL141C	-0.098395631	-0.082548411	-0.084005123	-0.148587174	-0.176099432	-0.170060714	-0.113284807	-0.040420059	0.091517893	-0.0256318	0.10400451	0.069907357	0.013431222	-0.060889663	-0.098676915	0.034195166	-0.19155458	-0.090688504	-0.097625958	0.011089052	-0.044606664	-0.114824545	-0.098210658	-0.042605631	-0.005291638	0.107420021	0.174178413	0.357461587	0.418963534	0.46236772	0.304755816
YPL142C	-0.156507356	-0.058877608	-0.264399401	-0.244524144	-0.512204585	0.223918714	0.476518955	0.303877997	0.30917307	0.53432209	0.001155015	0.0122818	-0.014454386	0.024591393	-0.008448115	0.006559657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPL143W	0.041216734	0.026345107	-0.260457452	-0.275102671	-0.334816737	-0.296637603	0.396446325	0.574785864	0.645271282	0.172024876	0.132910759	0.204079258	0.242097451	0.131224501	0.189402208	0.146477092	-0.075711185	-0.081148466	-0.025838597	0.042827366	0.042840615	-0.011915454	-0.095844742	0.032948306	-0.193627445	-0.108158267	-0.313267961	0.354578384	0.412639916	0.345768971	0.343480376
YPL144W	0.0580753	0.193843056	0.203308056	0.26742448	0.145695761	0.786429617	1.049989724	-0.036964455	-0.774704736	-0.699867171	-0.434883397	-0.471780289	-0.287307509	-0.320943344	-0.29590941	-0.087044674	0.19938987	0.14130696	0.038958465	0.071686133	0.158966688	0.257941172	0.384560826	0.1962171	-0.24686152	0.047341372	-0.136155864	-0.118198221	-0.081249914	-0.040412787	-0.006400969
YPL145C	0.039564754	-0.041140189	-0.078714753	0.244573211	0.332401599	-0.008366782	0.136038202	0.043761843	0.103032138	0.012355968	-0.05337829	-0.120586993	-0.092098861	-0.028631246	0.113238978	0.193749499	-0.047259056	0.016277105	0.013248387	0.074104236	0.25240094	0.202397286	0.16434983	0.375372845	0.178947985	0.115212348	0.153306023	0.365044171	0.310899928	0.159292467	0.412058343
YPL146C	0.114715573	0.147512917	0.00835357	0.150355481	0.082815978	0.19756554	0.340452073	0.342155931	0.461747997	0.439224415	0.250468222	0.028437474	0.208136003	0.148698944	0.190969495	0.263668079	0.108251163	-0.05762485	-0.0574835	0.059776723	0.198171705	0.177237421	0.258693322	0.148668969	0.106933365	0.234636551	0.170175579	-0.228704751	-0.025981207	0.035868501	0.093003652
YPL147W	0.128259752	-0.066037771	-0.132377231	-0.324024908	-0.028132259	-0.071917551	0.063918192	0.062240205	0.091274889	-0.095222262	0.147026703	0.187070706	0.186704442	0.169262823	0.198493842	0.149898745	-0.220520084	-0.16492264	0.015424703	-0.01059128	0.060988052	-0.003690745	-0.062070783	-0.019234796	-0.095177587	0.05165969	0.14347956	-0.409129903	-0.458311058	-0.419755956	-0.1664189
YPL148C	-1.152531378	-0.599431115	-1.479877811	-1.716117737	-1.594492692	-1.438721476	-1.180796331	-1.252677252	-0.552411094	-0.893194341	-1.283746834	-1.624869267	-0.490512582	-1.523738798	-0.915046248	-0.308539702	0.100549564	0.013761876	0.105442736	0.054935551	0.095932994	0.052365868	0.007426787	-0.024954723	-0.145740152	0.002136586	-0.044440778	-0.208409655	-0.061893572	-0.306975043	-0.39875107
YPL149W	-0.156306038	-0.242855455	-0.344747839	-0.233888088	-0.08638506	-0.146901096	0.0022275	0.031981482	0.014677381	0.031203488	0.096850006	0.025475199	0.144104128	0.061764783	0.307475167	0.244021484	-0.176007615	-0.02151444	-0.123442497	-0.006997173	-0.042022452	-0.075185086	-0.119172324	0.044085855	-0.087337434	0.035636113	0.153635662	0.539730746	0.539943302	0.279587706	0.175225631
YPL150W	-0.309743854	-0.171403585	0.087211685	0.031582341	-0.727078435	-0.329938626	-0.224896365	-0.063500671	-0.112540573	0.266911076	0.084111511	0.026603093	-0.068108967	-0.420868849	-0.054475393	-0.176162336	-0.032374295	-0.272873106	-0.153157466	-0.201242158	-0.041413142	-0.239495053	-0.36448032	-0.035311595	0.05316409	-0.292793782	-0.239500253	0.000618616	-0.123580922	-0.230991267	-0.178263732
YPL151C	0.685874298	0.756664445	-0.058496663	-1.126042304	-1.894935182	-1.819051553	-0.53855927	0.167469015	0.531876377	0.36325421	0.639965241	0.464403435	0.378414039	0.333733339	0.344474699	0.335108372	-0.070889305	0.303785857	0.584710372	0.686689393	0.334345927	0.071060148	-0.161827487	-0.335179128	-0.101138417	0.299110492	-0.222295275	-0.145282097	-0.086729603	-0.276060605	-0.007257145
YPL152W	-0.02163609	-0.142647674	-0.467232338	-0.274527759	-0.367974696	0.028433999	-0.013866455	0.083032399	0.357424098	0.391166566	0.408260534	0.171459253	0.281869945	0.237546065	0.189435133	0.327102123	-0.281370943	-0.31204167	-0.288079291	-0.286131039	-0.08369269	-0.040892175	0.002917779	0.067306046	0.191356275	0.251750402	0.319031223	-0.098564795	-0.081473432	-0.171222298	-0.221834623
